id,host_id,latitude,longitude,host_response_rate,host_acceptance_rate,host_total_listings_count,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,estimated_occupancy_l365d,estimated_revenue_l365d,bedrooms,host_listings_count,calculated_host_listings_count_shared_rooms,minimum_nights_avg_ntm,maximum_nights_avg_ntm,property_type,host_location,host_response_time,host_is_superhost,host_identity_verified,neighbourhood_cleansed,property_type.1,room_type,first_review,last_review,instant_bookable,has_availability
11866275,58166745,38.90332,-77.05329,100,100,6,4,1,2,160,1,29,2,14,30,305,445,51,4,4.78,4.86,4.73,4.94,4.9,4.9,4.73,4,4,0,3.95,255,40800,1,5,0,2.8,1125,Entire rental unit,"Washington, DC",within an hour,t,t,"West End, Foggy Bottom, GWU",Entire rental unit,Entire home/apt,03/10/2019,01/06/2025,t,t
11868093,58166745,38.90292,-77.05319,100,100,6,4,1,1,149,1,29,9,29,55,330,432,31,2,4.79,4.89,4.77,4.95,4.87,4.93,4.73,4,4,0,3.84,186,27714,1,5,0,2.8,1125,Entire rental unit,"Washington, DC",within an hour,t,t,"West End, Foggy Bottom, GWU",Entire rental unit,Entire home/apt,03/10/2019,25/05/2025,t,t
11868625,58166745,38.90312,-77.05338,100,100,6,4,1,2,166,1,29,7,14,38,313,463,41,2,4.75,4.85,4.72,4.94,4.83,4.9,4.71,4,4,0,4.11,246,40836,1,5,0,2.8,1125,Entire rental unit,"Washington, DC",within an hour,t,t,"West End, Foggy Bottom, GWU",Entire rental unit,Entire home/apt,03/10/2019,26/05/2025,t,t
11946738,6165522,38.90733,-76.94565,100,85,8,2,1.5,1,35,31,1125,0,0,14,289,19,2,1,4.16,4.32,3.84,4.47,4,4.32,4.05,6,2,4,0.22,124,4340,1,6,0,31,1125,Private room in home,"Washington, DC",within an hour,f,t,"Eastland Gardens, Kenilworth",Private room in home,Private room,03/10/2019,01/06/2025,f,t
11970099,10292686,38.89067,-77.00155,100,87,31,6,1,1,119,31,365,0,0,15,290,28,0,0,4.96,5,4.96,5,4.93,5,4.86,16,16,0,0.27,0,12338,2,21,0,31,365,Entire home,"Washington, DC",within an hour,t,t,"Capitol Hill, Lincoln Park",Entire home,Entire home/apt,11/06/2016,29/07/2023,f,t
11970434,63949846,38.92171,-77.07715,50,0,4,2,1,1,58,31,1125,16,46,76,351,180,0,0,4.59,4.75,4.62,4.76,4.65,4.86,4.72,1,0,1,1.64,0,0,1,1,0,31,1125,Private room in home,"Washington, DC",within a day,f,t,"Cathedral Heights, McLean Gardens, Glover Park",Private room in home,Private room,06/04/2016,03/12/2023,f,t
12007279,9272585,38.93008,-77.03914,100,95,1,4,1,2,125,2,28,8,35,59,235,97,34,2,4.93,4.97,4.96,4.94,4.98,4.9,4.82,1,1,0,0.87,204,25500,1,1,0,3,28,Entire rental unit,"Washington, DC",within a few hours,f,t,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire rental unit,Entire home/apt,04/06/2016,09/06/2025,f,t
12026532,64358426,38.96658,-77.02004,100,100,1,2,1,1,85,2,1125,20,47,77,352,39,16,1,4.82,4.87,4.92,4.97,4.87,4.79,4.69,1,0,1,1.57,96,8160,1,1,0,2,1125,Private room in home,"Washington, DC",within an hour,t,t,"Takoma, Brightwood, Manor Park",Private room in home,Private room,06/03/2023,16/06/2025,t,t
12035781,64423169,38.927807,-76.969704,100,96,2,2,1,0,86,1,30,7,8,22,22,62,15,3,4.97,4.92,4.94,4.98,5,4.95,4.94,1,1,0,1.64,90,7740,1,1,0,1,1125,Entire guest suite,"Washington, DC",within an hour,t,t,"Brookland, Brentwood, Langdon",Entire guest suite,Entire home/apt,03/10/2019,16/06/2025,t,t
12113216,260501993,38.902699,-76.979187,100,98,3,6,2,5,123,1,120,12,37,62,232,238,46,6,4.8,4.85,4.76,4.89,4.96,4.56,4.75,2,2,0,6.09,255,31365,2,2,0,1,1125,Entire rental unit,"Washington, DC",within an hour,f,t,"Ivy City, Arboretum, Trinidad, Carver Langston",Entire rental unit,Entire home/apt,04/02/2022,16/06/2025,f,t
